Codigo;CodTipo;Tipo;coordenadas
482;1;Cajeros Automáticos;-78.478711,-0.293429
483;1;Cajeros Automáticos;-78.459431,-0.298562
484;1;Cajeros Automáticos;-78.479331,-0.295269
485;1;Cajeros Automáticos;-78.450801,-0.307751
486;1;Cajeros Automáticos;-78.449329,-0.325721
487;1;Cajeros Automáticos;-78.446985,-0.328003
488;1;Cajeros Automáticos;-78.450648,-0.329901
489;1;Cajeros Automáticos;-78.433647,-0.336825
490;1;Cajeros Automáticos;-78.455605,-0.305731
491;1;Cajeros Automáticos;-78.449543,-0.308239
492;1;Cajeros Automáticos;-78.449543,-0.308239
493;1;Cajeros Automáticos;-78.40623,-0.215663
494;1;Cajeros Automáticos;-78.436088,-0.199142
495;1;Cajeros Automáticos;-78.438461,-0.198434
496;1;Cajeros Automáticos;-78.422444,-0.205213
497;1;Cajeros Automáticos;-78.494564,-0.180989
498;1;Cajeros Automáticos;-78.492612,-0.174366
499;1;Cajeros Automáticos;-78.489464,-0.172767
500;1;Cajeros Automáticos;-78.482037,-0.094906
501;1;Cajeros Automáticos;-78.469143,-0.085493
502;1;Cajeros Automáticos;-78.447185,-0.009586
503;1;Cajeros Automáticos;-78.471601,-0.105027
504;1;Cajeros Automáticos;-78.472536,-0.09078
505;1;Cajeros Automáticos;-78.465795,-0.075876
506;1;Cajeros Automáticos;-78.470508,-0.100012
507;1;Cajeros Automáticos;-78.493524,-0.191716
508;1;Cajeros Automáticos;-78.489862,-0.189345
509;1;Cajeros Automáticos;-78.565314,-0.299651
510;1;Cajeros Automáticos;-78.44972,-0.25343
511;1;Cajeros Automáticos;-78.536936,-0.250191
512;1;Cajeros Automáticos;-78.528915,-0.238672
513;1;Cajeros Automáticos;-78.521349,-0.250122
514;1;Cajeros Automáticos;-78.490581,-0.103746
515;1;Cajeros Automáticos;-78.490386,-0.102563
516;1;Cajeros Automáticos;-78.48938,-0.156002
517;1;Cajeros Automáticos;-78.497004,-0.154716
518;1;Cajeros Automáticos;-78.466439,-0.159996
519;1;Cajeros Automáticos;-78.449962,-0.166738
520;1;Cajeros Automáticos;-78.457686,-0.163584
521;1;Cajeros Automáticos;-78.476073,-0.171589
522;1;Cajeros Automáticos;-78.521349,-0.250122
523;1;Cajeros Automáticos;-78.5217,-0.252736
524;1;Cajeros Automáticos;-78.517688,-0.244701
525;1;Cajeros Automáticos;-78.528968,-0.256284
526;1;Cajeros Automáticos;-78.547366,-0.275434
527;1;Cajeros Automáticos;-78.513545,-0.247153
528;1;Cajeros Automáticos;-78.480385,-0.176375
529;1;Cajeros Automáticos;-78.480385,-0.176375
530;1;Cajeros Automáticos;-78.480993,-0.181983
531;1;Cajeros Automáticos;-78.487854,-0.186527
532;1;Cajeros Automáticos;-78.484721,-0.169895
533;1;Cajeros Automáticos;-78.487504,-0.172606
534;1;Cajeros Automáticos;-78.483515,-0.1607
535;1;Cajeros Automáticos;-78.498538,-0.204555
536;1;Cajeros Automáticos;-78.479312,-0.165632
537;1;Cajeros Automáticos;-78.425722,-0.206761
538;1;Cajeros Automáticos;-78.431971,-0.20154
539;1;Cajeros Automáticos;-78.425777,-0.206703
540;1;Cajeros Automáticos;-78.297045,-0.109799
541;1;Cajeros Automáticos;-78.361408,-0.124303
542;1;Cajeros Automáticos;-78.478952,-0.156004
543;1;Cajeros Automáticos;-78.452934,-0.108174
544;1;Cajeros Automáticos;-78.423254,-0.102459
545;1;Cajeros Automáticos;-78.450907,-0.096229
546;1;Cajeros Automáticos;-78.355372,-0.063868
547;1;Cajeros Automáticos;-78.511214,-0.219246
548;1;Cajeros Automáticos;-78.511312,-0.221055
